Ano Fato,Data Fato,Data_Hora Fato,Horário Fato,Dia da Semana Fato,Latitude,Longitude,Município,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2015,11/5/2015,05/11/2015 22:30:00,22:30:00,QUINTA-FEIRA,-21.48571020,-45.93928990,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/6/2015,06/11/2015 01:00:00,01:00:00,SEXTA-FEIRA,-21.42058750,-45.94666980,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/7/2015,07/11/2015 00:45:00,00:45:00,SÁBADO,-21.43238690,-45.95034090,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2015,11/7/2015,07/11/2015 21:20:00,21:20:00,SÁBADO,-21.35834460,-45.92902160,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/9/2015,09/11/2015 10:30:00,10:30:00,SEGUNDA-FEIRA,-21.42174780,-45.98023420,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,11/9/2015,09/11/2015 16:20:00,16:20:00,SEGUNDA-FEIRA,-21.42624080,-45.96775710,ALFENAS,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2015,11/15/2015,15/11/2015 23:38:00,23:38:00,DOMINGO,-21.44226370,-45.95040220,ALFENAS,TENTADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2015,11/17/2015,17/11/2015 12:42:00,12:42:00,TERÇA-FEIRA,-21.42698920,-45.94906720,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/19/2015,19/11/2015 13:17:00,13:17:00,QUINTA-FEIRA,-21.41306030,-45.96073830,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/21/2015,21/11/2015 11:10:00,11:10:00,SÁBADO,-21.41763610,-45.96195860,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/22/2015,22/11/2015 00:04:00,00:04:00,DOMINGO,-21.41540780,-45.96029610,ALFENAS,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),ACAO DE GANGUES / FACCOES CRIMINOSAS
2015,11/24/2015,24/11/2015 18:51:00,18:51:00,TERÇA-FEIRA,-21.42344970,-45.95764430,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/25/2015,25/11/2015 09:00:00,09:00:00,QUARTA-FEIRA,-21.40580050,-45.97338340,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/26/2015,26/11/2015 04:04:00,04:04:00,QUINTA-FEIRA,-21.40782180,-45.96245670,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,11/27/2015,27/11/2015 04:10:00,04:10:00,SEXTA-FEIRA,-21.45856270,-45.94692050,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,11/27/2015,27/11/2015 06:21:00,06:21:00,SEXTA-FEIRA,-21.41353160,-45.96867620,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,11/27/2015,27/11/2015 22:27:00,22:27:00,SEXTA-FEIRA,-21.41939450,-45.95735560,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/28/2015,28/11/2015 00:30:00,00:30:00,SÁBADO,-21.44547500,-45.99072580,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/28/2015,28/11/2015 00:30:00,00:30:00,SÁBADO,-21.44547500,-45.99072580,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,11/29/2015,29/11/2015 00:40:00,00:40:00,DOMINGO,-21.43213480,-45.94508270,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,11/29/2015,29/11/2015 21:30:00,21:30:00,DOMINGO,-21.41667880,-45.95548010,ALFENAS,TENTADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2015,11/29/2015,29/11/2015 22:45:00,22:45:00,DOMINGO,-21.41920180,-45.95551030,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,12/3/2015,03/12/2015 02:50:00,02:50:00,QUINTA-FEIRA,-21.44062030,-45.94847850,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,12/4/2015,04/12/2015 05:00:00,05:00:00,SEXTA-FEIRA,-21.41353160,-45.96867620,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,12/4/2015,04/12/2015 21:14:00,21:14:00,SEXTA-FEIRA,-21.41959730,-45.95656680,ALFENAS,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2015,12/5/2015,05/12/2015 22:58:00,22:58:00,SÁBADO,-21.40955180,-45.94647430,ALFENAS,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2015,12/8/2015,08/12/2015 11:30:00,11:30:00,TERÇA-FEIRA,-21.42924250,-45.95216630,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,12/9/2015,09/12/2015 00:45:00,00:45:00,QUARTA-FEIRA,-21.41224840,-45.95328010,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,12/13/2015,13/12/2015 00:01:00,00:01:00,DOMINGO,-21.42817990,-45.94323950,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,12/14/2015,14/12/2015 00:00:00,00:00:00,SEGUNDA-FEIRA,-21.43466620,-45.94820370,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,12/14/2015,14/12/2015 18:16:00,18:16:00,SEGUNDA-FEIRA,-21.42953180,-45.95907020,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,12/15/2015,15/12/2015 09:30:00,09:30:00,TERÇA-FEIRA,-21.41237160,-45.94002370,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2015,12/16/2015,16/12/2015 01:00:00,01:00:00,QUARTA-FEIRA,-21.42170810,-45.94762550,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,12/17/2015,17/12/2015 06:45:00,06:45:00,QUINTA-FEIRA,-21.42134750,-45.96608290,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,12/17/2015,17/12/2015 03:00:00,03:00:00,QUINTA-FEIRA,-21.42975800,-45.94816620,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,12/17/2015,17/12/2015 21:50:00,21:50:00,QUINTA-FEIRA,-21.42360160,-45.95250540,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
