Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,10/27/2014,27/10/2014 17:20:00,SEGUNDA-FEIRA,-22.41378770,-45.45087170,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,11/1/2014,01/11/2014 01:35:00,SÁBADO,-22.42921610,-45.44751500,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,11/3/2014,03/11/2014 00:40:00,SEGUNDA-FEIRA,-22.41915850,-45.45698030,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,11/3/2014,03/11/2014 18:50:00,SEGUNDA-FEIRA,-22.42748960,-45.45184580,CONSUMADO,MOTORISTA DE TAXI,OUTRAS MOTIVACOES/CAUSAS 
2014,11/5/2014,05/11/2014 11:10:00,QUARTA-FEIRA,-22.42621450,-45.46112060,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,11/5/2014,05/11/2014 23:15:00,QUARTA-FEIRA,-22.41926260,-45.47578900,CONSUMADO,MOTORISTA DE TAXI,VANTAGEM ECONOMICA
2014,11/6/2014,06/11/2014 19:13:00,QUINTA-FEIRA,-22.42464260,-45.46552190,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,11/10/2014,10/11/2014 23:00:00,SEGUNDA-FEIRA,-22.42484200,-45.44227300,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,11/20/2014,20/11/2014 22:16:00,QUINTA-FEIRA,-22.41485670,-45.45378950,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,11/21/2014,21/11/2014 17:30:00,SEXTA-FEIRA,-22.42202290,-45.45069330,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,11/22/2014,22/11/2014 18:15:00,SÁBADO,-22.42276150,-45.47234420,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,IGNORADO
2014,11/27/2014,27/11/2014 10:00:00,QUINTA-FEIRA,-22.42172510,-45.45719760,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,11/27/2014,27/11/2014 17:04:00,QUINTA-FEIRA,-22.41806570,-45.46417840,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,11/28/2014,28/11/2014 19:40:00,SEXTA-FEIRA,-22.41926260,-45.47578900,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,12/1/2014,01/12/2014 22:40:00,SEGUNDA-FEIRA,-22.42998960,-45.44960710,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,12/5/2014,05/12/2014 12:40:00,SEXTA-FEIRA,-22.42495370,-45.45175690,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,12/21/2014,21/12/2014 08:30:00,DOMINGO,-22.42289370,-45.48775170,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2015,1/8/2015,08/01/2015 18:15:00,QUINTA-FEIRA,-22.43825410,-45.45555140,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,IGNORADO
2015,1/14/2015,14/01/2015 19:00:00,QUARTA-FEIRA,-22.42758540,-45.48955610,CONSUMADO,MOTORISTA DE TAXI,VANTAGEM ECONOMICA
2015,1/16/2015,16/01/2015 18:30:00,SEXTA-FEIRA,-22.42418870,-45.45311480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2015,1/19/2015,19/01/2015 21:15:00,SEGUNDA-FEIRA,-22.42351290,-45.45327910,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,1/19/2015,19/01/2015 21:15:00,SEGUNDA-FEIRA,-22.42351290,-45.45327910,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,1/24/2015,24/01/2015 00:30:00,SÁBADO,-22.43602340,-45.50560150,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,1/26/2015,26/01/2015 19:45:00,SEGUNDA-FEIRA,-22.42446570,-45.46031050,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,1/28/2015,28/01/2015 17:54:00,QUARTA-FEIRA,-22.42345790,-45.45227070,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,2/4/2015,04/02/2015 21:50:00,QUARTA-FEIRA,-22.42277170,-45.46037260,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
