Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,4/12/2014,12/04/2014 18:20:00,SÁBADO,-19.65842700,-43.22724520,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/13/2014,13/04/2014 12:49:00,DOMINGO,-19.64371490,-43.22005080,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,4/14/2014,14/04/2014 20:15:00,SEGUNDA-FEIRA,-19.65031810,-43.23643870,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,4/14/2014,14/04/2014 19:25:00,SEGUNDA-FEIRA,-19.62284630,-43.22966280,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/15/2014,15/04/2014 14:00:00,TERÇA-FEIRA,-19.65856170,-43.22882840,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/25/2014,25/04/2014 21:50:00,SEXTA-FEIRA,-19.62203480,-43.22711780,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/26/2014,26/04/2014 16:40:00,SÁBADO,-19.59261130,-43.19745250,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2014,4/28/2014,28/04/2014 19:40:00,SEGUNDA-FEIRA,-19.64141610,-43.22746490,TENTADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,5/8/2014,08/05/2014 22:00:00,QUINTA-FEIRA,-19.63449710,-43.23689750,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,5/12/2014,12/05/2014 12:20:00,SEGUNDA-FEIRA,-19.64113360,-43.22985550,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/12/2014,12/05/2014 12:30:00,SEGUNDA-FEIRA,-19.62030150,-43.21167180,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,VANTAGEM ECONOMICA
2014,5/12/2014,12/05/2014 23:00:00,SEGUNDA-FEIRA,-19.63783840,-43.23685840,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
